"Category ID","Category Label"
10000,"Arts and Entertainment"
10001,"Arts and Entertainment > Amusement Park"
10002,"Arts and Entertainment > Aquarium"
10003,"Arts and Entertainment > Arcade"
10004,"Arts and Entertainment > Art Gallery"
10005,"Arts and Entertainment > Bingo Center"
10006,"Arts and Entertainment > Bowling Alley"
10007,"Arts and Entertainment > Carnival"
10008,"Arts and Entertainment > Casino"
10009,"Arts and Entertainment > Circus"
10010,"Arts and Entertainment > Comedy Club"
10011,"Arts and Entertainment > Country Club"
10012,"Arts and Entertainment > Country Dance Club"
10013,"Arts and Entertainment > Dance Hall"
10014,"Arts and Entertainment > Disc Golf Course"
10015,"Arts and Entertainment > Escape Room"
10016,"Arts and Entertainment > Exhibit"
10017,"Arts and Entertainment > Fair"
10018,"Arts and Entertainment > Gaming Cafe"
10019,"Arts and Entertainment > Go Kart Track"
10020,"Arts and Entertainment > Internet Cafe"
10021,"Arts and Entertainment > Karaoke Box"
10022,"Arts and Entertainment > Laser Tag Center"
10023,"Arts and Entertainment > Mini Golf Course"
10024,"Arts and Entertainment > Movie Theater"
10025,"Arts and Entertainment > Movie Theater > Drive-in Theater"
10026,"Arts and Entertainment > Movie Theater > Indie Movie Theater"
10027,"Arts and Entertainment > Museum"
10028,"Arts and Entertainment > Museum > Art Museum"
10029,"Arts and Entertainment > Museum > Erotic Museum"
10030,"Arts and Entertainment > Museum > History Museum"
10031,"Arts and Entertainment > Museum > Science Museum"
10032,"Arts and Entertainment > Night Club"
10033,"Arts and Entertainment > Pachinko Parlor"
10034,"Arts and Entertainment > Party Center"
10035,"Arts and Entertainment > Performing Arts Venue"
10036,"Arts and Entertainment > Performing Arts Venue > Amphitheater"
10037,"Arts and Entertainment > Performing Arts Venue > Concert Hall"
10038,"Arts and Entertainment > Performing Arts Venue > Indie Theater"
10039,"Arts and Entertainment > Performing Arts Venue > Music Venue"
10040,"Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue"
10041,"Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club"
10042,"Arts and Entertainment > Performing Arts Venue > Opera House"
10043,"Arts and Entertainment > Performing Arts Venue > Theater"
10044,"Arts and Entertainment > Planetarium"
10045,"Arts and Entertainment > Pool Hall"
10046,"Arts and Entertainment > Psychic and Astrologer"
10047,"Arts and Entertainment > Public Art"
10048,"Arts and Entertainment > Roller Rink"
10049,"Arts and Entertainment > Salsa Club"
10050,"Arts and Entertainment > Samba School"
10051,"Arts and Entertainment > Stadium"
10052,"Arts and Entertainment > Strip Club"
10053,"Arts and Entertainment > Ticket Seller"
10054,"Arts and Entertainment > VR Cafe"
10055,"Arts and Entertainment > Water Park"
10056,"Arts and Entertainment > Zoo"
10057,"Arts and Entertainment > Disc Golf"
10058,"Arts and Entertainment > Amusement Park > Attraction"
10059,"Arts and Entertainment > Public Art > Street Art"
10060,"Arts and Entertainment > Stadium > Baseball Stadium"
10061,"Arts and Entertainment > Stadium > Basketball Stadium"
10062,"Arts and Entertainment > Stadium > Football Stadium"
10063,"Arts and Entertainment > Stadium > Hockey Stadium"
10064,"Arts and Entertainment > Stadium > Rugby Stadium"
10065,"Arts and Entertainment > Stadium > Soccer Stadium"
10066,"Arts and Entertainment > Stadium > Tennis Stadium"
10067,"Arts and Entertainment > Stadium > Track Stadium"
10068,"Arts and Entertainment > Zoo > Zoo Exhibit"
10069,"Arts and Entertainment > Public Art > Outdoor Sculpture"
11041,"Business and Professional Services > Film Studio"
12000,"Community and Government"
12009,"Community and Government > Education"
12010,"Community and Government > Education > Adult Education"
12011,"Community and Government > Education > Art School"
12012,"Community and Government > Education > Circus School"
12013,"Community and Government > Education > College and University"
12014,"Community and Government > Education > College and University > College Academic Building"
12015,"Community and Government > Education > College and University > College Administrative Building"
12016,"Community and Government > Education > College and University > College Arts Building"
12017,"Community and Government > Education > College and University > College Auditorium"
12018,"Community and Government > Education > College and University > College Baseball Diamond"
12019,"Community and Government > Education > College and University > College Basketball Court"
12020,"Community and Government > Education > College and University > College Bookstore"
12021,"Community and Government > Education > College and University > College Cafeteria"
12022,"Community and Government > Education > College and University > College Classroom"
12023,"Community and Government > Education > College and University > College Communications Building"
12024,"Community and Government > Education > College and University > College Cricket Pitch"
12025,"Community and Government > Education > College and University > College Engineering Building"
12026,"Community and Government > Education > College and University > College Football Field"
12027,"Community and Government > Education > College and University > College Gym"
12028,"Community and Government > Education > College and University > College History Building"
12029,"Community and Government > Education > College and University > College Hockey Rink"
12030,"Community and Government > Education > College and University > College Lab"
12031,"Community and Government > Education > College and University > College Library"
12032,"Community and Government > Education > College and University > College Math Building"
12033,"Community and Government > Education > College and University > College Quad"
12034,"Community and Government > Education > College and University > College Rec Center"
12035,"Community and Government > Education > College and University > College Residence Hall"
12036,"Community and Government > Education > College and University > College Science Building"
12037,"Community and Government > Education > College and University > College Soccer Field"
12038,"Community and Government > Education > College and University > College Stadium"
12039,"Community and Government > Education > College and University > College Technology Building"
12040,"Community and Government > Education > College and University > College Tennis Court"
12041,"Community and Government > Education > College and University > College Theater"
12042,"Community and Government > Education > College and University > College Track"
12043,"Community and Government > Education > College and University > Fraternity House"
12044,"Community and Government > Education > College and University > Law School"
12045,"Community and Government > Education > College and University > Medical School"
12046,"Community and Government > Education > College and University > Sorority House"
12047,"Community and Government > Education > College and University > Student Center"
12048,"Community and Government > Education > College and University > Community College"
12049,"Community and Government > Education > Computer Training School"
12050,"Community and Government > Education > Culinary School"
12051,"Community and Government > Education > Driving School"
12052,"Community and Government > Education > Flight School"
12053,"Community and Government > Education > Language School"
12054,"Community and Government > Education > Music School"
12055,"Community and Government > Education > Nursery School"
12056,"Community and Government > Education > Preschool"
12057,"Community and Government > Education > Primary and Secondary School"
12058,"Community and Government > Education > Primary and Secondary School > Elementary School"
12059,"Community and Government > Education > Primary and Secondary School > High School"
12060,"Community and Government > Education > Primary and Secondary School > Middle School"
12061,"Community and Government > Education > Private School"
12062,"Community and Government > Education > Religious School"
12063,"Community and Government > Education > Trade School"
12064,"Community and Government > Government Building"
12065,"Community and Government > Government Building > Capitol Building"
12066,"Community and Government > Government Building > City Hall"
12067,"Community and Government > Government Building > Courthouse"
12068,"Community and Government > Government Building > Embassy or Consulate"
12069,"Community and Government > Government Building > Government Department"
12070,"Community and Government > Government Building > Law Enforcement and Public Safety"
12071,"Community and Government > Government Building > Law Enforcement and Public Safety > Fire Station"
12072,"Community and Government > Government Building > Law Enforcement and Public Safety > Police Station"
12089,"Community and Government > Organization > Youth Organization"
13000,"Dining and Drinking"
13001,"Dining and Drinking > Bagel Shop"
13002,"Dining and Drinking > Bakery"
13003,"Dining and Drinking > Bar"
13004,"Dining and Drinking > Bar > Apres Ski Bar"
13005,"Dining and Drinking > Bar > Beach Bar"
13006,"Dining and Drinking > Bar > Beer Bar"
13007,"Dining and Drinking > Bar > Beer Garden"
13008,"Dining and Drinking > Bar > Champagne Bar"
13009,"Dining and Drinking > Bar > Cocktail Bar"
13010,"Dining and Drinking > Bar > Dive Bar"
13011,"Dining and Drinking > Bar > Gay Bar"
13012,"Dining and Drinking > Bar > Hookah Bar"
13013,"Dining and Drinking > Bar > Hotel Bar"
13014,"Dining and Drinking > Bar > Ice Bar"
13015,"Dining and Drinking > Bar > Karaoke Bar"
13016,"Dining and Drinking > Bar > Lounge"
13017,"Dining and Drinking > Bar > Piano Bar"
13018,"Dining and Drinking > Bar > Pub"
13019,"Dining and Drinking > Bar > Rooftop Bar"
13020,"Dining and Drinking > Bar > Sake Bar"
13021,"Dining and Drinking > Bar > Speakeasy"
13022,"Dining and Drinking > Bar > Sports Bar"
13023,"Dining and Drinking > Bar > Tiki Bar"
13024,"Dining and Drinking > Bar > Whisky Bar"
13025,"Dining and Drinking > Bar > Wine Bar"
13026,"Dining and Drinking > Restaurant > BBQ Joint"
13027,"Dining and Drinking > Restaurant > Bistro"
13028,"Dining and Drinking > Breakfast Spot"
13029,"Dining and Drinking > Brewery"
13030,"Dining and Drinking > Restaurant > Buffet"
13031,"Dining and Drinking > Restaurant > Burger Joint"
13032,"Dining and Drinking > Cafe, Coffee, and Tea House"
13037,"Dining and Drinking > Cafeteria"
13038,"Dining and Drinking > Cidery"
13039,"Dining and Drinking > Restaurant > Deli"
13040,"Dining and Drinking > Dessert Shop"
13041,"Dining and Drinking > Creperie"
13051,"Dining and Drinking > Restaurant > Fish and Chips Shop"
13068,"Dining and Drinking > Restaurant > American Restaurant"
13076,"Dining and Drinking > Restaurant > Eastern European Restaurant > Belarusian Restaurant"
13077,"Dining and Drinking > Restaurant > Belgian Restaurant"
13078,"Dining and Drinking > Restaurant > Eastern European Restaurant > Bosnian Restaurant"
13079,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant"
13080,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Acai House"
13081,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Baiano Restaurant"
13082,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Central Brazilian Restaurant "
13083,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Churrascaria"
13084,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Empada House"
13085,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Goiano Restaurant"
13086,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Mineiro Restaurant"
13087,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Northeastern Brazilian Restaurant"
13088,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Northern Brazilian Restaurant"
13089,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Pastelaria"
13090,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Southeastern Brazilian Restaurant"
13091,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Southern Brazilian Restaurant"
13092,"Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Tapiocaria"
13093,"Dining and Drinking > Restaurant > Eastern European Restaurant > Bulgarian Restaurant"
13094,"Dining and Drinking > Restaurant > Asian Restaurant > Burmese Restaurant"
13095,"Dining and Drinking > Restaurant > Cajun and Creole Restaurant"
13096,"Dining and Drinking > Restaurant > Asian Restaurant > Cambodian Restaurant"
13097,"Dining and Drinking > Restaurant > Caribbean Restaurant"
13098,"Dining and Drinking > Restaurant > Caucasian Restaurant"
14000,"Event"
14001,"Event > Conference"
14002,"Event > Convention"
14003,"Event > Entertainment Event"
14004,"Event > Entertainment Event > Festival"
14005,"Event > Entertainment Event > Music Festival"
14006,"Event > Entertainment Event > Parade"
14007,"Event > Entertainment Event > Sporting Event"
14008,"Event > Line"
14009,"Event > Marketplace"
14010,"Event > Marketplace > Christmas Market"
14011,"Event > Marketplace > Stoop Sale"
14012,"Event > Marketplace > Street Fair"
14013,"Event > Marketplace > Street Food Gathering"
14014,"Event > Marketplace > Trade Fair"
14015,"Event > Other Event"
14016,"Event > Entertainment Event > Festival > Beer Festival"
15000,"Health and Medicine"
15001,"Health and Medicine > Acupuncture Clinic"
15002,"Health and Medicine > AIDS Resource"
15003,"Health and Medicine > Alternative Medicine Clinic"
15004,"Health and Medicine > Assisted Living Service"
15005,"Health and Medicine > Blood Bank"
15006,"Health and Medicine > Chiropractor"
15007,"Health and Medicine > Dentist"
15008,"Health and Medicine > Emergency Service"
15009,"Health and Medicine > Emergency Service > Ambulance Service"
15010,"Health and Medicine > Emergency Service > Emergency Room"
15011,"Health and Medicine > Healthcare Clinic"
15012,"Health and Medicine > Home Health Care Service"
15013,"Health and Medicine > Hospice"
15014,"Health and Medicine > Hospital"
15015,"Health and Medicine > Maternity Clinic"
15016,"Health and Medicine > Medical Center"
15017,"Health and Medicine > Medical Lab"
15018,"Health and Medicine > Mental Health Service"
15019,"Health and Medicine > Mental Health Service > Mental Health Clinic"
15020,"Health and Medicine > Mental Health Service > Psychologist"
15021,"Health and Medicine > Nurse"
16000,"Landmarks and Outdoors"
16001,"Landmarks and Outdoors > Bathing Area"
16002,"Landmarks and Outdoors > Bay"
16003,"Landmarks and Outdoors > Beach"
16004,"Landmarks and Outdoors > Bike Trail"
16005,"Landmarks and Outdoors > Botanical Garden"
16006,"Landmarks and Outdoors > Bridge"
16007,"Landmarks and Outdoors > Structure"
16008,"Landmarks and Outdoors > Campground"
16009,"Landmarks and Outdoors > Canal"
16010,"Landmarks and Outdoors > Canal Lock"
16011,"Landmarks and Outdoors > Castle"
16012,"Landmarks and Outdoors > Cave"
16013,"Landmarks and Outdoors > Dive Spot"
16014,"Landmarks and Outdoors > Farm"
16015,"Landmarks and Outdoors > Forest"
16016,"Landmarks and Outdoors > Fountain"
16017,"Landmarks and Outdoors > Garden"
16018,"Landmarks and Outdoors > Harbor or Marina"
16019,"Landmarks and Outdoors > Hiking Trail"
16020,"Landmarks and Outdoors > Historic and Protected Site"
16021,"Landmarks and Outdoors > Hot Spring"
16022,"Landmarks and Outdoors > Island"
16023,"Landmarks and Outdoors > Lake"
16024,"Landmarks and Outdoors > Lighthouse"
16025,"Landmarks and Outdoors > Memorial Site"
16026,"Landmarks and Outdoors > Monument"
16027,"Landmarks and Outdoors > Mountain"
16028,"Landmarks and Outdoors > Nature Preserve"
16029,"Landmarks and Outdoors > Nudist Beach"
16030,"Landmarks and Outdoors > Other Great Outdoors"
16031,"Landmarks and Outdoors > Palace"
16032,"Landmarks and Outdoors > Park"
16033,"Landmarks and Outdoors > Park > Dog Park"
16034,"Landmarks and Outdoors > Park > National Park"
16035,"Landmarks and Outdoors > Park > Natural Park"
16036,"Landmarks and Outdoors > Park > Picnic Area"
16037,"Landmarks and Outdoors > Park > Playground"
16038,"Landmarks and Outdoors > Park > State or Provincial Park"
16039,"Landmarks and Outdoors > Park > Urban Park"
16040,"Landmarks and Outdoors > Pedestrian Plaza"
16041,"Landmarks and Outdoors > Plaza"
16042,"Landmarks and Outdoors > Reservoir"
16043,"Landmarks and Outdoors > River"
16044,"Landmarks and Outdoors > Rock Climbing Spot"
16045,"Landmarks and Outdoors > Roof Deck"
16046,"Landmarks and Outdoors > Scenic Lookout"
16047,"Landmarks and Outdoors > Sculpture Garden"
16048,"Landmarks and Outdoors > Stable"
16049,"Landmarks and Outdoors > Surf Spot"
16050,"Landmarks and Outdoors > Tunnel"
16051,"Landmarks and Outdoors > Volcano"
16052,"Landmarks and Outdoors > Waterfall"
16053,"Landmarks and Outdoors > Waterfront"
16054,"Landmarks and Outdoors > Windmill"
16055,"Landmarks and Outdoors > Boat Launch"
16056,"Landmarks and Outdoors > Dam"
16057,"Landmarks and Outdoors > Field"
16058,"Landmarks and Outdoors > Hill"
16059,"Landmarks and Outdoors > Mountain Hut"
16060,"Landmarks and Outdoors > Picnic Shelter"
16061,"Landmarks and Outdoors > States and Municipalities"
16062,"Landmarks and Outdoors > States and Municipalities > City"
16063,"Landmarks and Outdoors > States and Municipalities > Country"
16064,"Landmarks and Outdoors > States and Municipalities > County"
16065,"Landmarks and Outdoors > States and Municipalities > Neighborhood"
16066,"Landmarks and Outdoors > States and Municipalities > State"
16067,"Landmarks and Outdoors > States and Municipalities > Town"
16068,"Landmarks and Outdoors > States and Municipalities > Village"
16069,"Landmarks and Outdoors > Tree"
16070,"Landmarks and Outdoors > Well"
17002,"Retail > Antique Store"
17003,"Retail > Arts and Crafts Store"
17004,"Retail > Auction House"
17022,"Retail > Comic Book Store"
18000,"Sports and Recreation"
18001,"Sports and Recreation > Athletic Field"
18002,"Sports and Recreation > Baseball"
18003,"Sports and Recreation > Baseball > Baseball Club"
18004,"Sports and Recreation > Baseball > Baseball Field"
18005,"Sports and Recreation > Baseball > Batting Cages"
18006,"Sports and Recreation > Basketball"
18007,"Sports and Recreation > Basketball > Basketball Club"
18008,"Sports and Recreation > Basketball > Basketball Court"
18009,"Sports and Recreation > Bowling Green"
18010,"Sports and Recreation > Cricket Ground"
18011,"Sports and Recreation > Curling Ice"
18012,"Sports and Recreation > Equestrian Facility"
18013,"Sports and Recreation > Football"
18014,"Sports and Recreation > Football > Football Club"
18015,"Sports and Recreation > Football > Football Field"
18016,"Sports and Recreation > Golf"
18017,"Sports and Recreation > Golf > Golf Club"
18018,"Sports and Recreation > Golf > Golf Course"
18019,"Sports and Recreation > Golf > Golf Driving Range"
18020,"Sports and Recreation > Gun Range"
18021,"Sports and Recreation > Gym and Studio"
18022,"Sports and Recreation > Gym and Studio > Boxing Gym"
18023,"Sports and Recreation > Gym and Studio > Climbing Gym"
18024,"Sports and Recreation > Gym and Studio > Cycle Studio"
18025,"Sports and Recreation > Gym and Studio > Dance Studio"
18026,"Sports and Recreation > Gym and Studio > Outdoor Gym"
18027,"Sports and Recreation > Gym and Studio > Pilates Studio"
18028,"Sports and Recreation > Gym and Studio > Yoga Studio"
18029,"Sports and Recreation > Gymnastics"
18030,"Sports and Recreation > Gymnastics > Gymnastics Center"
18031,"Sports and Recreation > Hockey"
18032,"Sports and Recreation > Hockey > Hockey Club"
18033,"Sports and Recreation > Hockey > Hockey Field"
18034,"Sports and Recreation > Hockey > Hockey Rink"
18035,"Sports and Recreation > Indoor Play Area"
18036,"Sports and Recreation > Martial Arts Dojo"
18037,"Sports and Recreation > Paintball Field"
18038,"Sports and Recreation > Personal Trainer"
18039,"Sports and Recreation > Race Track"
18040,"Sports and Recreation > Racquet Sports"
18041,"Sports and Recreation > Racquet Sports > Badminton Court"
18042,"Sports and Recreation > Racquet Sports > Racquet Sport Club"
18043,"Sports and Recreation > Racquet Sports > Racquetball Club"
18044,"Sports and Recreation > Racquet Sports > Squash Court"
18045,"Sports and Recreation > Racquet Sports > Tennis"
18046,"Sports and Recreation > Racquet Sports > Tennis > Tennis Club"
18047,"Sports and Recreation > Racquet Sports > Tennis > Tennis Court"
18048,"Sports and Recreation > Recreation Center"
18049,"Sports and Recreation > Rugby"
18050,"Sports and Recreation > Rugby > Rugby Pitch"
18051,"Sports and Recreation > Running and Track"
18052,"Sports and Recreation > Running and Track > Running Club"
18053,"Sports and Recreation > Running and Track > Track"
18054,"Sports and Recreation > Skating"
18055,"Sports and Recreation > Skating > Skate Park"
18056,"Sports and Recreation > Skating > Skating Rink"
18057,"Sports and Recreation > Skydiving Center"
18058,"Sports and Recreation > Snow Sports"
18059,"Sports and Recreation > Snow Sports > Ski Chalet"
18060,"Sports and Recreation > Snow Sports > Ski Lodge"
18061,"Sports and Recreation > Snow Sports > Ski Resort and Area"
18062,"Sports and Recreation > Soccer"
18063,"Sports and Recreation > Soccer > Soccer Club"
18064,"Sports and Recreation > Soccer > Soccer Field"
18065,"Sports and Recreation > Sports Club"
18066,"Sports and Recreation > Volleyball Court"
18067,"Sports and Recreation > Water Sports"
18068,"Sports and Recreation > Water Sports > Canoe and Kayak Rental"
18069,"Sports and Recreation > Water Sports > Rafting Outfitter"
18070,"Sports and Recreation > Water Sports > Sailing Club"
18071,"Sports and Recreation > Water Sports > Scuba Diving Instructor"
18072,"Sports and Recreation > Water Sports > Surfing"
18073,"Sports and Recreation > Water Sports > Swimming"
18074,"Sports and Recreation > Water Sports > Swimming > Swimming Club"
18075,"Sports and Recreation > Water Sports > Swimming > Swimming Pool"
18076,"Sports and Recreation > Water Sports > Swimming > Swim School"
18077,"Sports and Recreation > Gym and Studio > Gym"
18078,"Sports and Recreation > Gym and Studio > Gym Pool"
18079,"Sports and Recreation > Hunting Area"
18080,"Sports and Recreation > Race Track > Racecourse"
18081,"Sports and Recreation > Sauna"
18082,"Sports and Recreation > Skydiving Center > Skydiving Drop Zone"
18083,"Sports and Recreation > Snow Sports > Ski Resort and Area > Ski Chairlift"
18084,"Sports and Recreation > Snow Sports > Ski Resort and Area > Ski Trail"
18085,"Sports and Recreation > Water Sports > Rafting Spot"
18086,"Sports and Recreation > Fishing Area"
19000,"Travel and Transportation"
19031,"Travel and Transportation > Transport Hub > Airport"
19032,"Travel and Transportation > Transport Hub > Airport > Airfield"
19033,"Travel and Transportation > Transport Hub > Airport > Airport Food Court"
19034,"Travel and Transportation > Transport Hub > Airport > Airport Gate"
19035,"Travel and Transportation > Transport Hub > Airport > Airport Lounge"
19036,"Travel and Transportation > Transport Hub > Airport > Airport Service"
19037,"Travel and Transportation > Transport Hub > Airport > Airport Terminal"
19038,"Travel and Transportation > Transport Hub > Airport > Airport Tram Station"
19039,"Travel and Transportation > Transport Hub > Airport > Baggage Claim"
19040,"Travel and Transportation > Transport Hub > Airport > International Airport"
19041,"Travel and Transportation > Transport Hub > Airport > Private Airport"
19050,"Travel and Transportation > Transport Hub > Tram Station"
